,title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
344,InuYasha,"Action, Adventure, Comedy, Fantasy, Romance",Kyoto Animation,167,2000-10,Tv,76.0,AniList
345,Teasing Master Takagi-san,"Comedy, Romance, Slice of Life",Shin-Ei Animation,12,2018-01,Tv,74.0,AniList
346,My Love Story with Yamada-kun at Lv999,"Comedy, Drama, Romance",Aniplex,13,2023-04,Tv,78.0,AniList
347,A Place Further Than the Universe,"Adventure, Comedy, Drama",MADHOUSE,13,2018-01,Tv,84.0,AniList
348,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy",A-1 Pictures,25,2013-10,Tv,81.0,AniList
349,Laid-Back Camp,"Comedy, Slice of Life",C-Station,12,2018-01,Tv,81.0,AniList
350,Sword Art Online Alternative: Gun Gale Online,"Action, Sci-Fi",Studio 3Hz,12,2018-04,Tv,69.0,AniList
351,Monster Musume: Everyday Life With Monster Girls,"Comedy, Ecchi, Fantasy, Romance",Lerche,12,2015-07,Tv,66.0,AniList
352,K-ON! Season 2,"Comedy, Music, Slice of Life",Kyoto Animation,26,2010-04,Tv,82.0,AniList
353,The Millionaire Detective - Balance: UNLIMITED,"Action, Comedy, Mystery, Sci-Fi",CloverWorks,11,2020-04,Tv,74.0,AniList
354,Miss Kobayashi's Dragon Maid S,"Comedy, Fantasy, Slice of Life",Kyoto Animation,12,2021-07,Tv,81.0,AniList
355,Nisekoi:,"Comedy, Romance, Slice of Life",Shaft,12,2015-04,Tv,71.0,AniList
356,Little Witch Academia (TV),"Comedy, Fantasy",TRIGGER,25,2017-01,Tv,77.0,AniList
357,takt op.Destiny,"Action, Fantasy, Music",Bandai Namco Arts,12,2021-10,Tv,69.0,AniList
358,GTO: Great Teacher Onizuka,"Comedy, Drama, Slice of Life",Studio Pierrot,43,1999-06,Tv,84.0,AniList
359,Kizumonogatari Part 1: Tekketsu,"Action, Drama, Ecchi, Mystery, Psychological, Supernatural",Aniplex,1,2016-01,Movie,83.0,AniList
360,Haganai,"Comedy, Ecchi, Romance, Slice of Life",Funimation,12,2011-10,Tv,68.0,AniList
361,"Josee, the Tiger and the Fish","Drama, Romance, Slice of Life",bones,1,2020-12,Movie,82.0,AniList
362,BTOOOM!,"Action, Psychological, Sci-Fi",MADHOUSE,12,2012-10,Tv,68.0,AniList
363,Amagi Brilliant Park,"Comedy, Fantasy",Kyoto Animation,13,2014-10,Tv,72.0,AniList
364,Ghost in the Shell,"Action, Psychological, Sci-Fi",Production I.G,1,1995-11,Movie,80.0,AniList
365,Berserk,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",OLM,25,1997-10,Tv,84.0,AniList
366,Trigun,"Action, Adventure, Comedy, Drama, Sci-Fi",MADHOUSE,26,1998-04,Tv,80.0,AniList
367,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,"Adventure, Drama, Ecchi, Fantasy",Studio Bind,12,2024-04,Tv,83.0,AniList
368,Overlord IV,"Action, Adventure, Fantasy",MADHOUSE,13,2022-07,Tv,80.0,AniList
369,Akudama Drive,"Action, Drama, Sci-Fi, Thriller",Studio Pierrot,12,2020-10,Tv,75.0,AniList
370,SAKAMOTO DAYS,"Action, Comedy",TMS Entertainment,11,2025-01,Ona,76.0,AniList
371,Mieruko-chan,"Comedy, Horror, Slice of Life, Supernatural",Passione,12,2021-10,Tv,72.0,AniList
372,Kuroko's Basketball 3,"Comedy, Sports",Production I.G,25,2015-01,Tv,81.0,AniList
373,Komi Can't Communicate Part 2,"Comedy, Romance, Slice of Life",Shogakukan-Shueisha Productions,12,2022-04,Tv,79.0,AniList
374,Land of the Lustrous,"Action, Drama, Fantasy, Mystery, Psychological",Orange,12,2017-10,Tv,83.0,AniList
375,The Eminence in Shadow Season 2,"Action, Comedy, Fantasy",KADOKAWA,12,2023-10,Tv,82.0,AniList
376,Kamisama Kiss,"Comedy, Fantasy, Romance, Supernatural",TV Tokyo,13,2012-10,Tv,80.0,AniList
377,Made in Abyss: Dawn of the Deep Soul,"Action, Adventure, Drama, Fantasy, Horror, Mystery, Psychological, Sci-Fi",Kinema Citrus,1,2020-01,Movie,85.0,AniList
378,The Testament of Sister New Devil,"Action, Ecchi, Fantasy, Romance",Production IMS,12,2015-01,Tv,63.0,AniList
379,ZOMBIE LAND SAGA,"Comedy, Music, Supernatural",MAPPA,12,2018-10,Tv,74.0,AniList
380,In/Spectre,"Comedy, Mystery, Romance, Supernatural",Brain's Base,12,2020-01,Tv,68.0,AniList
381,Tsukigakirei,"Drama, Romance, Slice of Life",feel.,12,2017-04,Tv,78.0,AniList
382,Yu Yu Hakusho: Ghostfiles,"Action, Adventure, Comedy, Supernatural",Studio Pierrot,112,1992-10,Tv,82.0,AniList
383,A Certain Scientific Railgun,"Action, Fantasy, Sci-Fi",J.C.STAFF,24,2009-10,Tv,75.0,AniList
384,KONOSUBA -God's blessing on this wonderful world! 3,"Action, Adventure, Comedy, Ecchi, Fantasy",Drive,11,2024-04,Tv,82.0,AniList
385,The Way of the Househusband,"Comedy, Slice of Life",J.C.STAFF,5,2021-04,Ona,71.0,AniList
386,My Love Story!!,"Comedy, Romance",MADHOUSE,24,2015-04,Tv,77.0,AniList
387,"Say ""I love you"".","Drama, Romance",Starchild Records,13,2012-10,Tv,71.0,AniList
388,The Asterisk War,"Action, Comedy, Ecchi, Fantasy, Romance, Sci-Fi",A-1 Pictures,12,2015-10,Tv,65.0,AniList
389,Barakamon,Slice of Life,Kinema Citrus,12,2014-07,Tv,82.0,AniList
390,Link Click,"Drama, Mystery, Supernatural, Thriller",BeDream,11,2021-04,Ona,86.0,AniList
391,Nekomonogatari Black,"Drama, Mystery, Psychological, Romance, Supernatural",Shaft,4,2012-12,Tv,77.0,AniList
392,The Devil is a Part-Timer! Season 2,"Comedy, Fantasy, Romance, Slice of Life",Studio 3Hz,12,2022-07,Tv,66.0,AniList
393,The Familiar of Zero,"Action, Adventure, Comedy, Ecchi, Fantasy, Romance",J.C.STAFF,13,2006-07,Tv,68.0,AniList
394,"WataMote: No Matter How I Look At It, It's You Guys' Fault I'm Not Popular!","Comedy, Slice of Life",Square Enix,12,2013-07,Tv,67.0,AniList
395,Classroom of the Elite Season 3,"Drama, Psychological",KADOKAWA,13,2024-01,Tv,79.0,AniList
396,WIND BREAKER,"Action, Comedy, Drama",CloverWorks,13,2024-04,Tv,78.0,AniList
397,Welcome to Demon School! Iruma-kun,"Comedy, Fantasy",Bandai Namco Pictures,23,2019-10,Tv,77.0,AniList
398,Alya Sometimes Hides Her Feelings in Russian,"Comedy, Romance, Slice of Life",KADOKAWA,12,2024-07,Tv,75.0,AniList
399,MASHLE: MAGIC AND MUSCLES Season 2,"Action, Comedy, Fantasy",A-1 Pictures,12,2024-01,Tv,78.0,AniList
400,HINAMATSURI,"Comedy, Sci-Fi, Slice of Life, Supernatural",feel.,12,2018-04,Tv,80.0,AniList
401,Moriarty the Patriot,"Drama, Mystery, Psychological",Production I.G,11,2020-10,Tv,80.0,AniList
402,Sound! Euphonium,"Drama, Music, Slice of Life",Kyoto Animation,13,2015-04,Tv,80.0,AniList
403,Attack on Titan: No Regrets,"Action, Drama, Fantasy",Production I.G,2,2014-12,Ova,82.0,AniList
404,Blue Period,"Drama, Slice of Life",Seven Arcs,12,2021-09,Ona,77.0,AniList
405,Tomo-chan Is a Girl!,"Comedy, Romance, Slice of Life",Lay-duce,13,2023-01,Tv,77.0,AniList
406,Ergo Proxy,"Adventure, Mystery, Psychological, Sci-Fi",NBCUniversal Entertainment Japan,23,2006-02,Tv,76.0,AniList
407,Oreimo,"Comedy, Slice of Life",Aniplex,12,2010-10,Tv,65.0,AniList
408,That Time I Got Reincarnated as a Slime Season 3,"Action, Adventure, Comedy, Fantasy",8-bit,24,2024-04,Tv,77.0,AniList
409,Food Wars! The Fifth Plate,"Comedy, Drama, Ecchi",J.C.STAFF,13,2020-04,Tv,71.0,AniList
410,Gleipnir,"Action, Ecchi, Mystery, Supernatural",PINE JAM,13,2020-04,Tv,66.0,AniList
411,The Disappearance of Haruhi Suzumiya,"Drama, Mystery, Sci-Fi, Supernatural",Kyoto Animation,1,2010-02,Movie,86.0,AniList
412,The Tatami Galaxy,"Comedy, Mystery, Psychological, Romance",MADHOUSE,11,2010-04,Tv,85.0,AniList
413,TSUKIMICHI -Moonlit Fantasy-,"Action, Adventure, Comedy, Fantasy",C2C,12,2021-07,Tv,76.0,AniList
414,Asobi Asobase - workshop of fun -,"Comedy, Slice of Life",Lerche,12,2018-07,Tv,79.0,AniList
415,Oshi no Ko Season 2,"Drama, Mystery, Psychological, Supernatural",KADOKAWA,13,2024-07,Tv,85.0,AniList
416,In Another World With My Smartphone,"Adventure, Comedy, Fantasy, Romance",Ashi Productions,12,2017-07,Tv,57.0,AniList
